strain	n_concordant	n	freq_concordant	index
QX386	1374	1374	1	386
QX387	1370	1373	0.997815003641661	387
QX388	1366	1367	0.999268471104609	388
QX389	1371	1372	0.999271137026239	389
QX39	1377	1377	1	39
QX390	1363	1365	0.998534798534799	390
QX391	1368	1372	0.997084548104956	391
QX392	1373	1373	1	392
QX393	1368	1372	0.997084548104956	393
QX394	1369	1372	0.997813411078717	394
QX395	1359	1365	0.995604395604396	395
QX396	1363	1365	0.998534798534799	396
QX397	728	1378	0.528301886792453	397
QX398	1301	1344	0.968005952380952	398
QX399	1358	1361	0.997795738427627	399
QX4	1377	1378	0.999274310595065	4
QX40	1375	1375	1	40
QX400	1371	1371	1	400
QX401	1373	1375	0.998545454545455	401
QX402	1344	1357	0.990420044215181	402
QX403	1335	1360	0.981617647058823	403
QX404	1368	1372	0.997084548104956	404
QX405	1369	1374	0.996360989810771	405
QX406	1348	1362	0.989720998531571	406
QX407	1371	1373	0.998543335761107	407
QX408	1376	1376	1	408
QX409	1367	1370	0.997810218978102	409
QX41	1376	1376	1	41
QX410	1364	1367	0.997805413313826	410
QX411	1372	1376	0.997093023255814	411
QX412	1376	1377	0.999273783587509	412
QX413	1372	1372	1	413
QX414	1365	1374	0.993449781659389	414
QX415	1373	1374	0.999272197962154	415
QX416	1370	1371	0.99927060539752	416
QX417	1373	1373	1	417
QX418	1368	1374	0.995633187772926	418
QX419	728	1378	0.528301886792453	419
QX42	1375	1375	1	42
QX420	1368	1369	0.99926953981008	420
QX421	1368	1372	0.997084548104956	421
QX422	1371	1371	1	422
QX423	1374	1375	0.999272727272727	423
QX424	1368	1371	0.99781181619256	424
QX426	1359	1366	0.994875549048316	426
QX427	1368	1372	0.997084548104956	427
QX428	1366	1371	0.9963530269876	428
QX429	1365	1367	0.998536942209217	429
QX43	1358	1364	0.995601173020528	43
QX430	1378	1378	1	430
QX431	1353	1371	0.986870897155361	431
QX432	1297	1331	0.974455296769346	432
QX433	1369	1369	1	433
QX434	1368	1368	1	434
QX435	1372	1373	0.999271667880554	435
QX436	1362	1369	0.994886778670562	436
QX437	1351	1374	0.983260553129549	437
QX438	1377	1377	1	438
QX439	1370	1373	0.997815003641661	439
QX44	1378	1378	1	44
QX440	1355	1359	0.997056659308315	440
QX441	1359	1367	0.994147768836869	441
QX442	1371	1372	0.999271137026239	442
QX443	1362	1363	0.999266324284666	443
QX444	1370	1372	0.998542274052478	444
QX445	312	924	0.337662337662338	445
QX446	1375	1375	1	446
QX447	1371	1372	0.999271137026239	447
QX448	1373	1373	1	448
QX449	1361	1369	0.994156318480643	449
QX45	1378	1378	1	45
QX450	1369	1370	0.999270072992701	450
QX451	1357	1361	0.997060984570169	451
QX452	1374	1374	1	452
QX453	1365	1366	0.999267935578331	453
QX454	1081	1378	0.784470246734398	454
QX455	1361	1365	0.997069597069597	455
QX456	1359	1359	1	456
QX457	1309	1348	0.97106824925816	457
QX458	1350	1376	0.981104651162791	458
QX459	1377	1377	1	459
QX460	1374	1374	1	460
QX461	1370	1370	1	461
QX462	1366	1377	0.9920116194626	462
QX463	1365	1368	0.99780701754386	463
QX464	1359	1366	0.994875549048316	464
QX465	1374	1374	1	465
QX466	1368	1368	1	466
QX467	1349	1360	0.991911764705882	467
QX468	1359	1368	0.993421052631579	468
QX469	1359	1366	0.994875549048316	469
QX47	513	531	0.966101694915254	47
QX470	1368	1369	0.99926953981008	470
QX471	1357	1369	0.991234477720964	471
QX472	1369	1369	1	472
QX473	1369	1370	0.999270072992701	473
QX474	1365	1366	0.999267935578331	474
QX475	1364	1369	0.996347699050402	475
QX476	1372	1372	1	476
QX477	1367	1370	0.997810218978102	477
QX478	1369	1369	1	478
QX479	1370	1376	0.995639534883721	479
QX48	1376	1376	1	48
QX480	1316	1370	0.960583941605839	480
QX481	1375	1375	1	481
QX482	1373	1376	0.997819767441861	482
QX483	1369	1369	1	483
QX484	1372	1373	0.999271667880554	484
QX485	1371	1372	0.999271137026239	485
QX486	1371	1371	1	486
QX487	1369	1371	0.99854121079504	487
QX488	1364	1367	0.997805413313826	488
QX489	1362	1371	0.993435448577681	489
QX49	1225	1323	0.925925925925926	49
QX490	1371	1371	1	490
QX491	1353	1357	0.997052321296979	491
QX492	1370	1375	0.996363636363636	492
QX493	1373	1373	1	493
QX494	1375	1375	1	494
QX495	1374	1374	1	495
QX496	1366	1369	0.997808619430241	496
QX497	1339	1358	0.9860088365243	497
QX498	1367	1367	1	498
QX499	410	1378	0.297532656023222	499
QX5	1375	1375	1	5
QX500	1372	1372	1	500
QX501	1348	1368	0.985380116959064	501
QX502	1373	1377	0.997095134350036	502
QX503	1363	1366	0.997803806734993	503
QX504	1373	1375	0.998545454545455	504
QX505	1376	1376	1	505
QX506	1361	1377	0.988380537400145	506
QX507	1373	1375	0.998545454545455	507
QX508	1373	1374	0.999272197962154	508
QX509	1368	1373	0.996358339402768	509
QX51	1367	1367	1	51
QX510	1347	1357	0.992630803242447	510
QX511	1373	1374	0.999272197962154	511
QX512	1373	1374	0.999272197962154	512
QX513	1368	1371	0.99781181619256	513
QX514	1368	1371	0.99781181619256	514
QX515	1374	1375	0.999272727272727	515
QX516	1370	1372	0.998542274052478	516
QX517	1275	1305	0.977011494252874	517
QX518	1369	1371	0.99854121079504	518
QX519	1376	1376	1	519
QX52	1376	1376	1	52
QX520	1370	1371	0.99927060539752	520
QX521	1373	1373	1	521
QX522	1375	1375	1	522
QX523	1341	1363	0.983859134262656	523
QX524	1374	1376	0.998546511627907	524
QX525	1372	1373	0.999271667880554	525
QX526	1374	1375	0.999272727272727	526
QX527	1372	1372	1	527
QX528	1373	1375	0.998545454545455	528
QX529	1369	1375	0.995636363636364	529
QX53	1375	1375	1	53
QX530	1374	1374	1	530
QX531	1369	1373	0.997086671522214	531
QX532	1353	1353	1	532
QX533	1366	1370	0.997080291970803	533
QX534	1368	1369	0.99926953981008	534
QX535	1374	1377	0.997821350762527	535
QX536	1368	1368	1	536
QX537	1375	1375	1	537
QX538	1375	1375	1	538
QX539	1377	1377	1	539
QX54	1372	1376	0.997093023255814	54
QX540	1340	1347	0.994803266518189	540
QX541	1365	1367	0.998536942209217	541
QX542	1372	1373	0.999271667880554	542
QX543	1368	1372	0.997084548104956	543
QX544	744	1378	0.539912917271408	544
QX545	1365	1365	1	545
QX546	1342	1357	0.98894620486367	546
QX547	1376	1377	0.999273783587509	547
QX548	1375	1377	0.998547567175018	548
QX549	1374	1374	1	549
QX55	1376	1376	1	55
QX550	1362	1369	0.994886778670562	550
QX551	1370	1370	1	551
QX552	1377	1378	0.999274310595065	552
QX553	1368	1371	0.99781181619256	553
QX554	1372	1374	0.998544395924309	554
QX555	1377	1377	1	555
QX556	1375	1375	1	556
QX557	1361	1367	0.995610826627652	557
QX558	1368	1370	0.998540145985401	558
QX559	1375	1375	1	559
QX56	1376	1378	0.998548621190131	56
QX560	1376	1376	1	560
QX561	1374	1375	0.999272727272727	561
QX562	1074	1314	0.817351598173516	562
QX563	1368	1368	1	563
QX564	1369	1372	0.997813411078717	564
QX565	1374	1374	1	565
QX566	1366	1369	0.997808619430241	566
QX567	1373	1374	0.999272197962154	567
QX568	1377	1377	1	568
QX569	1373	1373	1	569
QX57	1376	1376	1	57
QX570	1375	1377	0.998547567175018	570
QX571	1372	1372	1	571
QX572	1369	1370	0.999270072992701	572
QX573	1372	1373	0.999271667880554	573
QX574	1338	1353	0.988913525498891	574
QX575	1370	1370	1	575
QX576	1375	1375	1	576
QX577	1377	1377	1	577
QX578	1374	1375	0.999272727272727	578
QX579	1372	1372	1	579
QX58	1376	1376	1	58
QX580	1356	1368	0.991228070175439	580
QX581	1363	1369	0.995617238860482	581
QX582	1371	1373	0.998543335761107	582
QX583	1375	1375	1	583
QX584	1373	1375	0.998545454545455	584
QX585	1376	1376	1	585
QX586	1367	1368	0.999269005847953	586
QX587	1372	1373	0.999271667880554	587
QX588	1369	1372	0.997813411078717	588
QX589	729	1378	0.529027576197387	589
QX59	869	1348	0.644658753709199	59
QX590	1373	1376	0.997819767441861	590
QX591	1366	1366	1	591
QX592	1367	1369	0.998539079620161	592
QX593	1368	1370	0.998540145985401	593
QX594	1374	1374	1	594
QX595	1370	1370	1	595
QX596	1322	1354	0.976366322008863	596
QX597	1374	1375	0.999272727272727	597
QX598	1374	1376	0.998546511627907	598
QX6	1375	1375	1	6
QX60	1377	1377	1	60
QX61	200	534	0.374531835205993	61
QX62	1350	1359	0.993377483443709	62
QX63	1373	1375	0.998545454545455	63
QX64	1375	1375	1	64
QX65	1374	1374	1	65
QX66	1370	1371	0.99927060539752	66
QX67	1377	1377	1	67
QX68	1374	1375	0.999272727272727	68
QX69	1377	1377	1	69
QX7	679	1377	0.493100944081336	7
QX70	1375	1375	1	70
QX71	1374	1374	1	71
QX72	559	1373	0.407137654770575	72
QX73	1374	1374	1	73
QX74	1373	1373	1	74
QX75	1355	1357	0.998526160648489	75
QX76	1372	1373	0.999271667880554	76
QX77	1377	1377	1	77
QX78	1141	1373	0.831026948288419	78
QX79	1372	1377	0.996368917937545	79
QX8	668	1377	0.485112563543936	8
QX80	1374	1374	1	80
QX81	1373	1374	0.999272197962154	81
QX82	1359	1360	0.999264705882353	82
QX83	1375	1375	1	83
QX84	1377	1377	1	84
QX85	211	285	0.740350877192982	85
QX86	1373	1373	1	86
QX87	1376	1376	1	87
QX88	1377	1377	1	88
QX89	1377	1377	1	89
QX9	1369	1369	1	9
QX90	1370	1371	0.99927060539752	90
QX91	1375	1375	1	91
QX92	1378	1378	1	92
QX93	1364	1365	0.999267399267399	93
QX94	1361	1361	1	94
QX95	1375	1375	1	95
QX96	1372	1372	1	96
QX97	1373	1373	1	97
QX98	1377	1377	1	98
QX99	1373	1374	0.999272197962154	99
